142, 11205
218, 218
291, 291
339, 339
350, 350
446, 136385
460, 460
468, 468
494, 494
540, 540
569, 11896
743, 743
832, 832
869, 869
908, 908
1120, 1120
1176, 1176
1247, 1247
1358, 4517
1388, 1388
1400, 110523
1848, 1848
2241, 2241
2242, 2242
2515, 142
2661, 2661
2845, 2845
2996, 2996
3010, 3010
3074, 3074
3129, 3129
3155, 3155
3157, 3157
3252, 3252
3360, 3360
3425, 3425
3426, 3426
3480, 3480
3559, 3559
3667, 3667
3703, 3703
3708, 5337
4057, 3155
4078, 4078
4256, 446
4368, 4368
4390, 4390
4508, 4508
4634, 4634
4855, 4855
4864, 4864
4883, 4883
4896, 4896
5204, 5204
5247, 5247
5337, 5337
5479, 5479
5496, 5496
5677, 5677
5812, 5812
5980, 142
6183, 6183
6278, 6278
6319, 6319
6336, 6336
6466, 142
8404, 8404
9677, 9677
10094, 10094
10176, 10176
10248, 10248
10410, 4864
10445, 10445
10616, 10616
10974, 10974
11053, 3155
11143, 11143
11212, 494
11896, 3129
12942, 12942
13436, 13436
14470, 142
14918, 14918
16464, 13081
18190, 18190
18564, 18564
18768, 18768
19082, 19082
19378, 19378
19565, 19565
19709, 19709
19755, 19755
20104, 20104
25406, 25406
28375, 28375
28406, 28406
30006, 30006
33782, 33782
36712, 36712
38364, 38364
38515, 38515
38681, 38681
39016, 39016
39561, 39561
39622, 39622
39648, 39648
39723, 39723
45244, 45244
48657, 48657
49103, 49103
56524, 56524
69144, 69144
71244, 4517
87275, 87275
89958, 89958
100174, 100174
102640, 102640
103387, 103387
103737, 103737
103924, 103924
104312, 104312
104769, 104769
106123, 106123
106163, 106163
107009, 107009
107623, 107623
108131, 108131
109625, 109625
110953, 110953
113194, 113194
113411, 113411
119314, 119314
119431, 119431
122357, 122357
124522, 124522
125164, 125164
128268, 128268
129893, 129893
136385, 136385
142661, 142661
153026, 153026
142, 142
218, 4890
291, 291
339, 339
350, 350
446, 446
460, 460
476, 1120
494, 494
540, 540
569, 569
743, 743
832, 865
869, 869
908, 908
1120, 1120
1176, 1176
1247, 1247
1358, 1358
1388, 1388
1651, 1651
1848, 1848
2241, 2241
2242, 2242
2515, 8091
2661, 2661
2845, 2845
2996, 2996
3010, 3010
3074, 3074
3129, 3252
3155, 3155
3157, 3157
3252, 3252
3360, 3360
3425, 3425
3426, 3426
3480, 3480
3559, 3559
3667, 3667
3703, 3703
3842, 3842
4057, 3842
4078, 4078
4256, 4256
4368, 4368
4390, 4390
4508, 4508
4634, 4634
4855, 4855
4864, 4864
4883, 4883
4896, 4896
5204, 5204
5267, 5267
5337, 5337
5479, 5479
5496, 5496
5734, 4076
5812, 3703
5980, 5980
6183, 5479
6278, 6278
6319, 6319
6336, 6336
6927, 494
8404, 8404
9677, 9677
10094, 10094
10176, 16931
10248, 10248
10410, 10410
10522, 10522
10616, 10616
10974, 3480
11053, 10832
11143, 11143
11212, 11212
11896, 11896
12942, 12942
13436, 13436
14814, 14814
15566, 15566
16464, 10107
18190, 18190
18564, 18564
18768, 18768
19082, 19082
19378, 19378
19565, 19565
19709, 19709
19755, 19755
20104, 20104
25406, 25406
28375, 28375
29105, 29105
30006, 30006
33834, 33834
37398, 37398
38364, 38364
38515, 38515
38681, 38681
39547, 39547
39613, 39613
39628, 39628
39648, 39648
39723, 39723
45244, 45244
48657, 48657
49103, 49103
56524, 56524
69144, 69144
71244, 3698
87275, 87275
89958, 89958
100174, 100174
102640, 102640
103387, 103387
103737, 103737
103924, 103924
104312, 104312
104769, 104769
106123, 106123
106163, 106163
107009, 107009
107623, 107623
108131, 108131
109625, 109625
110953, 110953
113194, 113194
116441, 142
119314, 119314
119431, 119431
124101, 124101
124522, 124522
125164, 125164
128268, 128268
129893, 129893
136385, 136385
142661, 142661
153026, 153026
142, 4890
218, 218
291, 291
339, 339
350, 350
446, 446
460, 460
476, 494
539, 539
540, 540
569, 569
743, 743
832, 832
869, 869
969, 969
1120, 1120
1176, 1176
1247, 1247
1358, 1358
1388, 1388
1651, 142
2027, 2027
2241, 2241
2242, 2242
2660, 142
2707, 2707
2845, 2845
2996, 2996
3010, 3010
3123, 142
3129, 3129
3155, 3155
3210, 3210
3252, 3252
3360, 3360
3425, 3425
3426, 2241
3480, 3480
3559, 3559
3667, 3667
3703, 3703
3842, 3842
4076, 2141
4078, 4078
4308, 4308
4368, 4368
4390, 142
4517, 3129
4634, 142
4855, 142
4864, 4864
4883, 4883
4896, 4896
5219, 5219
5267, 5267
5337, 5337
5479, 5479
5496, 5496
5734, 5812
5812, 3155
5980, 5980
6278, 6278
6278, 6278
6319, 6319
6336, 6336
6927, 6927
8404, 8404
9677, 9677
10107, 10107
10176, 2515
10248, 10248
10410, 10410
10522, 10522
10616, 10616
10974, 10971
11053, 11053
11143, 11143
11275, 11275
11896, 11896
12942, 12942
13436, 13436
14814, 14814
15566, 15566
16931, 16931
18426, 18426
18564, 18564
18768, 18768
19285, 19285
19378, 19378
19565, 19565
19709, 19709
19755, 19755
20104, 20104
25406, 25406
28375, 28375
29105, 29105
30006, 30006
33834, 33834
37398, 37398
38364, 38364
38515, 38515
38681, 38681
39547, 39547
39613, 39613
39628, 39628
39648, 39648
39723, 105825
47987, 47987
48657, 48657
49804, 49804
56524, 56524
69144, 69144
71244, 4929
87275, 87275
90754, 90754
100470, 100470
102829, 102829
103387, 103387
103737, 103737
103924, 103924
104312, 104312
104769, 104769
106123, 106123
106163, 106163
107009, 107009
108117, 108117
108131, 108131
110523, 110523
110953, 110953
113194, 113194
116441, 142
119314, 119314
119431, 119431
124101, 124101
124522, 124522
125164, 125164
128268, 128268
132468, 132468
136385, 136385
142661, 142661
157210, 157210
142, 6466
218, 218
291, 291
350, 350
350, 350
446, 446
460, 460
476, 476
539, 539
540, 540
569, 1358
743, 743
832, 832
884, 884
969, 969
1120, 1120
1176, 1176
1247, 1247
1358, 1358
1388, 1388
1651, 1651
2027, 2027
2241, 2241
2242, 2242
2660, 2660
2707, 2707
2845, 2845
2996, 2996
3074, 3074
3123, 3123
3129, 3129
3155, 3155
3210, 3210
3252, 3252
3360, 3360
3425, 3425
3470, 3470
3480, 4929
3559, 3559
3697, 3697
3703, 3703
3842, 3842
4076, 4076
4078, 4078
4308, 4308
4368, 4368
4390, 4390
4517, 476
4634, 5267
